mutant_id,country_of_origin,unique_mutant_ability,mutant_ability_description,age_group,sex,gender_identity,spoken_languages,previous_occupation
21,USA,Invisibility,Becoming unseen.,18-34,Male,Male,English,Veterinarian
22,China,Light Manipulation,Controlling and creating light.,18-34,Female,Transgender Female,Cantonese; Mandarin,Janitor
23,Turkey,Super Speed,Enhanced speed and reflexes.,18-34,Female,Male,Turkish,Manager
24,Thailand,Energy Manipulation,"Creating, absorbing, and controlling energy.",35-49,Male,Female,English; Thai,Teacher
25,India,Hydrokinesis,Controlling and creating water.,35-49,Male,Male,Bengali,Janitor
26,Azerbaijan,Plasma Manipulation,Controlling and creating plasma.,18-34,Male,Male,Azerbaijani,Factory Worker
27,Morocco,Healing,Rapid recovery from injuries.,18-34,Female,Male,French,Real Estate Agent
28,Brazil,Matter Ingestion,Consuming any form of matter.,50-64,Male,Female,Portuguese,Plumber
29,China,Poison Resistance,Immunity to toxins and poisons.,50-64,Male,Male,Mandarin; English,Archaeologist
30,India,Mind Control,Influencing others' actions and thoughts.,18-34,Female,Male,Marathi,Customer Service Representative
31,Iraq,Shape-shifting,Changing physical form.,50-64,Male,Non-binary,Kurdish; Arabic,Hairdresser
32,India,Blood Manipulation,Controlling and using blood.,18-34,Male,Female,Bengali,Pilot
33,Mexico,Tactile Telekinesis,Moving objects through touch.,35-49,Male,Male,Spanish,Urban Planner
34,India,Memory Manipulation,Altering and erasing memories.,18-34,Female,Male,English,Space Archaeologist
35,China,Geokinesis,Controlling and manipulating earth/rock.,18-34,Male,Female,Cantonese,Manager
36,China,Sonic Scream,Emitting powerful sonic waves.,35-49,Male,Male,Cantonese,Archaeologist
37,Pakistan,Energy Manipulation,"Creating, absorbing, and controlling energy.",18-34,Female,Female,Urdu,Photographer
38,Kenya,Animal Communication,Talking to and controlling animals.,18-34,Male,Male,English,Cryptocurrency Specialist
39,Poland,Super Speed,Enhanced speed and reflexes.,18-34,Female,Female,English,Lawyer
40,Germany,Enhanced Durability,Increased physical resilience.,0-17,Female,Female,English,N/A
41,Iran,Spatial Manipulation,Altering space and dimensions.,18-34,Female,Male,English; Persian,Chiropractor
42,China,Aerokinesis,Controlling and creating air/wind.,35-49,Male,Male,English; Cantonese,Geologist
43,India,Enhanced Durability,Increased physical resilience.,35-49,Female,Female,Marathi,Quantum Physicist
44,China,Enhanced Durability,Increased physical resilience.,50-64,Female,Female,Cantonese; Mandarin,Archaeologist
45,France,Technopathy,Controlling and communicating with machines.,18-34,Male,Female,French,Chef
46,Nigeria,Energy Manipulation,"Creating, absorbing, and controlling energy.",18-34,Female,Female,Igbo,Food Service Worker
47,China,Emotion Control,Influencing and controlling emotions.,50-64,Male,Male,Cantonese,Doctor
48,Indonesia,Elasticity,Stretching and reshaping the body.,35-49,Female,Male,English; Indonesian,Accountant
49,Niger,Emotion Control,Influencing and controlling emotions.,18-34,Female,Female,English,Police Officer
50,China,Enhanced Intellect,Superhuman intelligence.,0-17,Male,Male,English; Mandarin,N/A
51,Paraguay,Invulnerability,Complete resistance to physical harm.,18-34,Male,Male,Spanish,Plumber
52,Palestine,Molecular Manipulation,Changing the molecular structure of objects.,35-49,Male,Male,English,Cashier
53,China,Light Manipulation,Controlling and creating light.,18-34,Male,Male,Cantonese,Manager
54,Thailand,Electric Resistance,Immunity to electricity.,0-17,Male,Female,English; Thai,N/A
55,Taiwan,Plant Manipulation,Controlling plant life.,0-17,Male,Female,English,N/A
56,China,Vibration Manipulation,Controlling vibrations.,18-34,Male,Male,Cantonese,Speech Pathologist
57,Philippines,Flight,Ability to fly.,35-49,Male,Female,English; Filipino,Speech Pathologist
58,South Africa,Atmospheric Manipulation,Controlling the atmosphere.,0-17,Male,Female,English,N/A
59,Ecuador,Dimensional Travel,Moving between dimensions.,0-17,Male,Male,Spanish,N/A
60,Germany,Dimensional Travel,Moving between dimensions.,35-49,Male,Male,English,Waiter/Waitress
61,Singapore,Chlorokinesis,Controlling plant life.,18-34,Male,Female,English,Social Worker
62,Italy,Duplication,Creating copies of oneself.,35-49,Female,Female,English,Farmer
63,USA,Power Negation,Cancelling out others' powers.,0-17,Male,Male,English,N/A
64,Thailand,Omnilingualism,Understanding all languages.,35-49,Male,Female,English; Thai,Plumber
65,Brazil,Time Manipulation,Altering the flow of time.,35-49,Female,Female,Portuguese,Real Estate Agent
66,Palestine,Poison Resistance,Immunity to toxins and poisons.,18-34,Female,Female,English,Veterinarian
67,Côte d'Ivoire,Ice Resistance,Immunity to cold and ice.,35-49,Male,Male,English,Farmer
68,Nigeria,Invisibility,Becoming unseen.,18-34,Male,Male,English; Igbo,Waiter/Waitress
69,Nigeria,Density Control,Altering one's density.,18-34,Female,Female,Igbo; English,Manager
70,Japan,Dimensional Travel,Moving between dimensions.,35-49,Male,Non-binary,Japanese,Driver
71,Philippines,Mind Control,Influencing others' actions and thoughts.,18-34,Male,Female,Filipino,Administrative Assistant
72,China,Plasma Manipulation,Controlling and creating plasma.,18-34,Male,Male,Cantonese,Engineer
73,USA,Size Alteration,Changing physical size.,35-49,Female,Non-binary,Spanish,Accountant
74,Egypt,Flight,Ability to fly.,0-17,Male,Female,Arabic,N/A
75,China,Substance Mimicry,Turning into any material.,35-49,Female,Transgender Female,English; Mandarin,Laborer
76,China,Emotion Control,Influencing and controlling emotions.,18-34,Female,Female,English; Mandarin,Zoologist
77,Pakistan,Invulnerability,Complete resistance to physical harm.,18-34,Female,Male,Urdu,Art Therapist
78,India,Flight,Ability to fly.,18-34,Female,Male,Hindi,Nurse
79,China,Poison Resistance,Immunity to toxins and poisons.,50-64,Female,Female,Cantonese; Mandarin,Neuroscientist
80,India,Healing,Rapid recovery from injuries.,18-34,Male,Male,Tamil,Mechanic
81,Pakistan,Regeneration,Ability to regrow lost limbs or organs.,18-34,Male,Female,English,Quantum Physicist
82,India,Enhanced Durability,Increased physical resilience.,0-17,Male,Female,Marathi,N/A
83,Bulgaria,Duplication,Creating copies of oneself.,18-34,Male,Female,English,Lawyer
84,Italy,Animal Transformation,Changing into animals.,18-34,Male,Male,English,Janitor
85,India,Psionic Energy,Using psionic energy for various effects.,35-49,Female,Female,Telugu; Tamil,Office Clerk
86,India,Umbrakinesis,Controlling and creating shadows.,18-34,Male,Male,Hindi; Bengali,Biomedical Engineer
87,Nigeria,Elasticity,Stretching and reshaping the body.,18-34,Female,Female,Yoruba,Retail Sales Associate
88,Indonesia,Electric Resistance,Immunity to electricity.,18-34,Male,Transgender Female,English,Office Clerk
89,Nepal,Alchemy,Transmuting matter.,18-34,Female,Male,Nepali,Food Service Worker
90,India,Invisibility,Becoming unseen.,18-34,Female,Female,Urdu,Real Estate Agent
91,USA,Bone Manipulation,Controlling and using bones.,18-34,Female,Male,English,Manager
92,Brazil,Electric Resistance,Immunity to electricity.,50-64,Female,Male,Portuguese,Anthropologist
93,Cameroon,Biokinesis,Altering living organisms' biology.,18-34,Male,Male,English,Laborer
94,India,Healing,Rapid recovery from injuries.,50-64,Female,Female,Urdu,Seismologist
95,Philippines,Magic,Using magical spells and abilities.,50-64,Male,Male,Filipino; English,Factory Worker
96,Thailand,Explosion Manipulation,Creating and controlling explosions.,0-17,Female,Male,Thai,N/A
97,India,Seismic Manipulation,Creating and controlling earthquakes.,65+,Male,Female,Bengali,Nurse
98,China,Matter Ingestion,Consuming any form of matter.,65+,Male,Male,Mandarin; English,Social Worker
99,India,Enhanced Intellect,Superhuman intelligence.,35-49,Male,Transgender Female,Tamil,Office Clerk
100,Pakistan,Geokinesis,Controlling and manipulating earth/rock.,18-34,Female,Male,English,Volcanologist
101,Nigeria,Aerokinesis,Controlling and creating air/wind.,50-64,Female,Female,Igbo,Graphic Designer
102,China,Super Strength,Enhanced physical strength.,35-49,Female,Male,Cantonese,Security Guard
103,India,Chlorokinesis,Controlling plant life.,18-34,Female,Male,Marathi,Statistician
104,India,Geokinesis,Controlling and manipulating earth/rock.,35-49,Female,Male,Telugu,Architect
105,India,Toxikinesis,Creating and controlling toxins and poisons.,18-34,Female,Transgender Male,Marathi,Teacher
106,Egypt,Technopathy,Controlling and communicating with machines.,18-34,Male,Female,English,Locomotive Engineer
107,China,Vitakinesis,Healing and altering life force.,18-34,Female,Female,English,Truck Driver
108,Turkey,Fire Resistance,Immunity to fire.,35-49,Female,Female,English,Driver
109,China,Healing,Rapid recovery from injuries.,50-64,Female,Female,Mandarin; English,Office Clerk
110,Sudan,Flight,Ability to fly.,18-34,Male,Female,English,Farmer
111,Kazakhstan,Invisibility,Becoming unseen.,35-49,Male,Female,Russian,Janitor
112,Sudan,Enhanced Durability,Increased physical resilience.,18-34,Female,Female,Arabic,Janitor
113,Kenya,Duplication,Creating copies of oneself.,65+,Female,Male,English,Food Service Worker
114,India,Enhanced Senses,Heightened sensory perception.,18-34,Female,Female,Telugu,Security Guard
115,Congo,Healing,Rapid recovery from injuries.,18-34,Female,Female,English,Nurse
116,India,Gravity Control,Manipulating gravitational forces.,18-34,Male,Female,Bengali,Journalist
117,Mexico,Vibration Manipulation,Controlling vibrations.,18-34,Male,Female,Spanish,Truck Driver
118,Vietnam,Atmospheric Manipulation,Controlling the atmosphere.,65+,Male,Transgender Female,English,Optometrist
119,India,Vitakinesis,Healing and altering life force.,35-49,Female,Male,Bengali; English,Biomedical Engineer
120,Indonesia,Poison Resistance,Immunity to toxins and poisons.,50-64,Male,Non-binary,Indonesian; English,Mechanic
121,Japan,Invisibility,Becoming unseen.,35-49,Male,Female,Japanese,Customer Service Representative
122,Iraq,Fire Resistance,Immunity to fire.,18-34,Male,Male,Arabic; Kurdish,Photographer
123,China,Elemental Control,"Manipulating elements (fire, water, earth, air).",35-49,Female,Transgender Male,Cantonese,Pilot
124,China,Plasma Manipulation,Controlling and creating plasma.,18-34,Female,Female,Cantonese; Mandarin,Salesperson
125,Canada,Weather Control,Manipulating weather patterns.,35-49,Male,Male,French,Geologist
126,Indonesia,Enhanced Intellect,Superhuman intelligence.,35-49,Female,Gender Fluid,Indonesian,Urban Planner
127,Benin,Radiation Manipulation,Controlling and creating radiation.,35-49,Male,Male,English,Customer Service Representative
128,India,Regeneration,Ability to regrow lost limbs or organs.,18-34,Female,Male,Urdu,Customer Service Representative
129,Bangladesh,Light Manipulation,Controlling and creating light.,35-49,Male,Female,Bengali,Cryptocurrency Specialist
130,India,Geokinesis,Controlling and manipulating earth/rock.,50-64,Female,Female,English,Retail Sales Associate
131,Colombia,Sound Manipulation,Controlling and creating sound.,18-34,Male,Male,Spanish,Teacher
132,Pakistan,Light Manipulation,Controlling and creating light.,0-17,Male,Male,Urdu,N/A
133,Egypt,Shadow Manipulation,Controlling and creating shadows.,50-64,Male,Transgender Male,English,Firefighter
134,Philippines,Frequency Manipulation,"Controlling frequencies of sound, light, etc.",0-17,Female,Non-binary,English,N/A
135,Mexico,Regeneration,Ability to regrow lost limbs or organs.,0-17,Female,Female,Spanish,N/A
136,South Korea,Regeneration,Ability to regrow lost limbs or organs.,18-34,Male,Female,English; Korean,Retail Sales Associate
137,Dominican Republic,Flight,Ability to fly.,0-17,Male,Female,English,N/A
138,Iran,Chlorokinesis,Controlling plant life.,18-34,Female,Male,English,Nurse
139,Tanzania,Pyrokinesis,Controlling and creating fire.,18-34,Female,Female,English,Food Service Worker
140,China,Magnetism,Controlling magnetic fields.,18-34,Male,Female,English,Construction Worker
141,China,Magic,Using magical spells and abilities.,18-34,Female,Male,Mandarin,Chiropractor
142,India,Telepathy,"Reading minds, mental communication.",18-34,Male,Transgender Female,English,Administrative Assistant
143,India,Substance Mimicry,Turning into any material.,18-34,Female,Male,Marathi,Farmer
144,Bangladesh,Sonic Scream,Emitting powerful sonic waves.,18-34,Female,Female,Bengali; English,Office Clerk
145,Rwanda,Fire Resistance,Immunity to fire.,0-17,Female,Female,English,N/A
146,Russia,Umbrakinesis,Controlling and creating shadows.,65+,Male,Female,Russian; English,Carpenter
147,Pakistan,Invulnerability,Complete resistance to physical harm.,0-17,Female,Female,Urdu,N/A
148,China,Invisibility,Becoming unseen.,35-49,Male,Male,Cantonese,Food Service Worker
149,USA,Ice Resistance,Immunity to cold and ice.,0-17,Male,Female,English; Spanish,N/A
150,China,Flight,Ability to fly.,18-34,Male,Non-binary,Cantonese,Marine Biologist
151,Mexico,Electric Resistance,Immunity to electricity.,35-49,Female,Female,Spanish,Kinesiology Researcher
152,Mozambique,Ice Resistance,Immunity to cold and ice.,18-34,Female,Female,English,Architect
153,China,Animal Communication,Talking to and controlling animals.,18-34,Male,Male,English,Hairdresser
154,Malawi,Spatial Manipulation,Altering space and dimensions.,0-17,Male,Female,English,N/A
155,USA,Energy Manipulation,"Creating, absorbing, and controlling energy.",65+,Male,Female,Spanish; English,Anthropologist
156,Uruguay,Plasma Manipulation,Controlling and creating plasma.,35-49,Male,Female,Spanish,Janitor
157,Indonesia,Time Manipulation,Altering the flow of time.,35-49,Female,Female,English,Journalist
158,USA,Illusions,Creating false perceptions.,18-34,Female,Female,Spanish,Manager
159,China,Ecokinesis,Controlling the ecosystem.,18-34,Male,Male,English; Mandarin,Laborer
160,India,Sound Manipulation,Controlling and creating sound.,35-49,Female,Male,Tamil; Urdu; Marathi,Salesperson
161,Japan,Elasticity,Stretching and reshaping the body.,18-34,Female,Male,Japanese,Salesperson
162,China,Precognition,Seeing the future.,18-34,Female,Male,English,Dentist
163,Syria,Blood Manipulation,Controlling and using blood.,18-34,Male,Female,Arabic,Accountant
164,China,Illusions,Creating false perceptions.,35-49,Female,Male,Cantonese; Mandarin; English,Photographer
165,Romania,Bulletproof,Impervious to bullets.,18-34,Female,Female,English; Romanian,Software Developer
166,Yemen,Summoning,Calling forth beings or objects.,18-34,Male,Male,Arabic,Architect
167,Paraguay,Bone Manipulation,Controlling and using bones.,65+,Female,Female,Spanish,Paleontologist
168,Indonesia,Sound Manipulation,Controlling and creating sound.,35-49,Female,Male,Indonesian; English,Cashier
169,Malaysia,Emotion Control,Influencing and controlling emotions.,18-34,Female,Male,English,Police Officer
170,Germany,Enhanced Senses,Heightened sensory perception.,18-34,Male,Male,German,Electrician
171,India,Shape-shifting,Changing physical form.,18-34,Female,Male,Hindi,Nurse
172,India,Substance Mimicry,Turning into any material.,35-49,Male,Female,Tamil,Nurse
173,India,Pressure Manipulation,Controlling pressure in the environment.,18-34,Male,Male,Marathi,Architect
174,Egypt,Vibration Manipulation,Controlling vibrations.,50-64,Female,Male,Arabic,Janitor
175,India,Blood Manipulation,Controlling and using blood.,50-64,Male,Female,Bengali,Plumber
176,India,Solar Manipulation,Controlling and using solar energy.,18-34,Male,Male,Telugu,Accountant
177,Russia,Solar Manipulation,Controlling and using solar energy.,18-34,Female,Non-binary,Russian,Real Estate Agent
178,Saudi Arabia,Electric Resistance,Immunity to electricity.,35-49,Male,Female,English,Salesperson
179,Turkey,Sonic Scream,Emitting powerful sonic waves.,0-17,Male,Female,English; Turkish,N/A
180,India,Ice Resistance,Immunity to cold and ice.,18-34,Female,Male,Urdu; Marathi,Lawyer
181,India,Size Alteration,Changing physical size.,35-49,Male,Transgender Female,English; Bengali; Telugu,Neuroscientist
182,Pakistan,Pressure Manipulation,Controlling pressure in the environment.,18-34,Male,Female,English,Office Clerk
183,India,Force Fields,Creating protective barriers.,18-34,Male,Male,Tamil,Plumber
184,Bangladesh,Elasticity,Stretching and reshaping the body.,18-34,Female,Female,English; Bengali,Accountant
185,Pakistan,Elasticity,Stretching and reshaping the body.,18-34,Male,Female,English; Urdu,Volcanologist
186,Philippines,Super Strength,Enhanced physical strength.,0-17,Male,Male,English,N/A
187,India,Elemental Control,"Manipulating elements (fire, water, earth, air).",0-17,Male,Female,Urdu,N/A
188,Mexico,Vibration Manipulation,Controlling vibrations.,65+,Male,Male,Spanish,Financial Analyst
189,Thailand,Power Absorption,Absorbing and using others' powers.,35-49,Female,Male,Thai; English,Retail Sales Associate
190,Pakistan,Omnilingualism,Understanding all languages.,35-49,Male,Female,Urdu,Hairdresser
191,Guatemala,Aerokinesis,Controlling and creating air/wind.,18-34,Female,Male,Spanish,Plumber
192,Bangladesh,Spatial Manipulation,Altering space and dimensions.,18-34,Female,Female,English,Speech Pathologist
193,Mexico,Magnetism,Controlling magnetic fields.,18-34,Male,Non-binary,Spanish,Lawyer
194,Pakistan,Radiation Manipulation,Controlling and creating radiation.,18-34,Male,Female,Punjabi; English,Salesperson
195,Netherlands,Umbrakinesis,Controlling and creating shadows.,0-17,Female,Female,English; Dutch,N/A
196,China,Temperature Manipulation,Controlling and altering temperature.,50-64,Female,Non-binary,Mandarin,Electrician
197,Colombia,Geokinesis,Controlling and manipulating earth/rock.,65+,Female,Female,Spanish,Carpenter
198,China,Power Absorption,Absorbing and using others' powers.,0-17,Female,Male,Mandarin,N/A
199,Switzerland,Biokinesis,Altering living organisms' biology.,18-34,Male,Transgender Male,Italian,Farmer
200,USA,Vitakinesis,Healing and altering life force.,35-49,Male,Male,Spanish; English,Police Officer
201,India,Super Speed,Enhanced speed and reflexes.,35-49,Male,Male,Bengali; Marathi,Epidemiologist
202,Mexico,Regeneration,Ability to regrow lost limbs or organs.,18-34,Male,Female,Spanish,Financial Analyst
203,Indonesia,Toxikinesis,Creating and controlling toxins and poisons.,18-34,Female,Female,English,Manager
204,Iran,Sonic Scream,Emitting powerful sonic waves.,50-64,Male,Female,English,Retail Sales Associate
205,Brazil,Hydrokinesis,Controlling and creating water.,35-49,Female,Male,Portuguese,Teacher
206,Thailand,Seismic Manipulation,Creating and controlling earthquakes.,18-34,Female,Non-binary,Thai,Mechanic
207,China,Energy Projection,Emitting energy blasts.,18-34,Male,Male,English,Security Guard
208,China,Seismic Manipulation,Creating and controlling earthquakes.,0-17,Female,Female,Cantonese,N/A
209,India,Vitakinesis,Healing and altering life force.,18-34,Female,Female,Telugu; Tamil,Geologist
210,USA,Spatial Manipulation,Altering space and dimensions.,0-17,Male,Male,English,N/A
211,India,Acid Generation,Creating and controlling acid.,18-34,Male,Female,Tamil; Urdu,Security Guard
212,China,Elemental Control,"Manipulating elements (fire, water, earth, air).",18-34,Female,Female,English,Software Developer
213,UK,Matter Ingestion,Consuming any form of matter.,18-34,Male,Female,English,Psychologist
214,South Africa,Toxikinesis,Creating and controlling toxins and poisons.,0-17,Female,Female,English,N/A
215,Burundi,Frequency Manipulation,"Controlling frequencies of sound, light, etc.",0-17,Male,Transgender Male,English,N/A
216,Nigeria,Invulnerability,Complete resistance to physical harm.,35-49,Male,Female,Yoruba,Customer Service Representative
217,India,Retrocognition,Seeing past events.,18-34,Female,Female,Tamil,Doctor
218,Angola,Substance Mimicry,Turning into any material.,65+,Female,Female,English,Carpenter
219,China,Flight,Ability to fly.,18-34,Female,Male,Mandarin,Social Worker
220,Mozambique,Blood Manipulation,Controlling and using blood.,35-49,Male,Female,English,Truck Driver
221,Egypt,Gravity Control,Manipulating gravitational forces.,18-34,Female,Female,English,Retail Sales Associate
222,Mexico,Frequency Manipulation,"Controlling frequencies of sound, light, etc.",35-49,Male,Male,Spanish,Administrative Assistant
223,India,Super Speed,Enhanced speed and reflexes.,0-17,Male,Male,Bengali,N/A
224,Sri Lanka,Super Strength,Enhanced physical strength.,50-64,Female,Male,Sinhala; Tamil,Driver
225,India,Seismic Manipulation,Creating and controlling earthquakes.,35-49,Female,Female,Hindi; Bengali,Retail Sales Associate
226,Uganda,Gravity Control,Manipulating gravitational forces.,18-34,Male,Female,English,Robotics Engineer
227,Panama,Magnetism,Controlling magnetic fields.,18-34,Male,Male,Spanish,Engineer
228,Romania,Illusions,Creating false perceptions.,18-34,Male,Male,Romanian; English,Construction Worker
229,Nigeria,Animal Communication,Talking to and controlling animals.,18-34,Male,Female,English,Manager
230,Yemen,Vibration Manipulation,Controlling vibrations.,35-49,Male,Female,Arabic,Physical Therapist
231,India,Invisibility,Becoming unseen.,0-17,Male,Male,Urdu,N/A
232,Indonesia,Shape-shifting,Changing physical form.,18-34,Male,Female,English,Factory Worker
233,Bangladesh,Photokinesis,Controlling and creating light.,50-64,Female,Female,Bengali,Manager
234,Austria,Technopathy,Controlling and communicating with machines.,18-34,Female,Male,English,Accountant
235,Indonesia,Shadow Manipulation,Controlling and creating shadows.,35-49,Female,Transgender Male,Indonesian,Office Clerk
236,India,Substance Mimicry,Turning into any material.,18-34,Male,Male,Tamil,Biomedical Engineer
237,Burundi,Poison Resistance,Immunity to toxins and poisons.,18-34,Female,Female,English,Actuary
238,Colombia,Matter Ingestion,Consuming any form of matter.,18-34,Male,Female,Spanish,Teacher
239,India,Bone Manipulation,Controlling and using bones.,0-17,Male,Female,Urdu; English,N/A
240,Vietnam,Acid Generation,Creating and controlling acid.,18-34,Female,Male,English,Veterinarian
241,Kenya,Fire Resistance,Immunity to fire.,35-49,Male,Male,English,Manager
242,Iran,Intangibility,"Becoming non-solid, ghost-like.",18-34,Male,Male,English; Persian,Astronomer
243,China,Frequency Manipulation,"Controlling frequencies of sound, light, etc.",18-34,Female,Male,Mandarin,Administrative Assistant
244,United Arab Emirates,Ice Resistance,Immunity to cold and ice.,50-64,Male,Male,English,Factory Worker
245,India,Animal Communication,Talking to and controlling animals.,18-34,Male,Male,English; Telugu,Carpenter
246,South Korea,Psionic Energy,Using psionic energy for various effects.,18-34,Male,Female,English,Laborer
247,India,Illusions,Creating false perceptions.,18-34,Female,Gender Fluid,Bengali,Laborer
248,India,Elasticity,Stretching and reshaping the body.,18-34,Female,Male,English; Urdu,Driver
249,Canada,Time Manipulation,Altering the flow of time.,35-49,Male,Female,French,Farmer
250,Bangladesh,Atmospheric Manipulation,Controlling the atmosphere.,18-34,Male,Male,English,Mechanic
251,Thailand,Energy Projection,Emitting energy blasts.,18-34,Female,Male,Thai; English,Biomedical Engineer
252,USA,Radiation Manipulation,Controlling and creating radiation.,0-17,Female,Male,English,N/A
253,China,Electrokinesis,Controlling and creating electricity.,18-34,Female,Female,Cantonese; Mandarin,Hairdresser
254,Senegal,Super Strength,Enhanced physical strength.,0-17,Male,Male,English,N/A
255,Japan,Aerokinesis,Controlling and creating air/wind.,35-49,Male,Male,Japanese; English,Accountant
256,Pakistan,Cryokinesis,Controlling and creating ice.,18-34,Female,Female,Punjabi,Salesperson
257,China,Enhanced Senses,Heightened sensory perception.,50-64,Female,Male,Cantonese,Plumber
258,Bangladesh,Invisibility,Becoming unseen.,35-49,Male,Male,Bengali; English,Plumber
259,Nigeria,Umbrakinesis,Controlling and creating shadows.,35-49,Female,Male,English,Food Service Worker
260,China,Photokinesis,Controlling and creating light.,35-49,Male,Male,Cantonese,Police Officer
261,USA,Hydrokinesis,Controlling and creating water.,35-49,Female,Female,Spanish; English,Plumber
262,China,Light Manipulation,Controlling and creating light.,35-49,Male,Female,Cantonese,Archaeologist
263,China,Umbrakinesis,Controlling and creating shadows.,50-64,Male,Male,Mandarin,Customer Service Representative
264,China,Sound Manipulation,Controlling and creating sound.,18-34,Female,Female,Mandarin; Cantonese,Administrative Assistant
265,Peru,Enhanced Durability,Increased physical resilience.,35-49,Male,Female,Quechua,Driver
266,Vietnam,Enhanced Durability,Increased physical resilience.,35-49,Female,Male,English; Vietnamese,Salesperson
267,Pakistan,Solar Manipulation,Controlling and using solar energy.,0-17,Female,Female,Urdu,N/A
268,India,Super Strength,Enhanced physical strength.,18-34,Male,Male,Urdu,Pilot
269,Indonesia,Toxikinesis,Creating and controlling toxins and poisons.,18-34,Female,Transgender Male,Indonesian,Driver
270,Japan,Matter Ingestion,Consuming any form of matter.,50-64,Female,Female,English,Manager
271,China,Psionic Energy,Using psionic energy for various effects.,18-34,Male,Male,Mandarin; Cantonese; English,Administrative Assistant
272,Cuba,Fire Resistance,Immunity to fire.,18-34,Male,Female,Spanish,Salesperson
273,Pakistan,Electrokinesis,Controlling and creating electricity.,0-17,Female,Male,Urdu,N/A
274,China,Seismic Manipulation,Creating and controlling earthquakes.,35-49,Female,Male,Cantonese; English,Truck Driver
275,Vietnam,Flight,Ability to fly.,18-34,Male,Male,Vietnamese,Salesperson
276,Spain,Invisibility,Becoming unseen.,0-17,Male,Transgender Male,Spanish,N/A
277,Indonesia,Toxikinesis,Creating and controlling toxins and poisons.,18-34,Female,Female,English; Indonesian,Chef
278,China,Psionic Constructs,Creating physical objects with the mind.,18-34,Female,Male,Mandarin; English,Food Service Worker
279,Thailand,Plasma Manipulation,Controlling and creating plasma.,18-34,Female,Transgender Male,Thai,Factory Worker
280,India,Energy Manipulation,"Creating, absorbing, and controlling energy.",18-34,Female,Female,Marathi,Cashier
281,Kenya,Matter Ingestion,Consuming any form of matter.,35-49,Male,Male,English,Speech Pathologist
282,Thailand,Seismic Manipulation,Creating and controlling earthquakes.,18-34,Female,Male,Thai,Hairdresser
283,Myanmar,Shadow Manipulation,Controlling and creating shadows.,18-34,Male,Female,Burmese,Factory Worker
284,Egypt,Precognition,Seeing the future.,35-49,Male,Female,Arabic,Zoologist
285,China,Precognition,Seeing the future.,35-49,Male,Non-binary,Mandarin,Oceanographer
286,Côte d'Ivoire,Frequency Manipulation,"Controlling frequencies of sound, light, etc.",0-17,Female,Female,English,N/A
287,Romania,Psionic Constructs,Creating physical objects with the mind.,35-49,Male,Male,English,Financial Analyst
288,Myanmar,Dream Manipulation,Controlling and entering dreams.,18-34,Female,Male,Burmese,Janitor
289,Indonesia,Matter Ingestion,Consuming any form of matter.,50-64,Female,Female,Indonesian,Customer Service Representative
290,UK,Fire Resistance,Immunity to fire.,18-34,Female,Male,English,Customer Service Representative
291,India,Energy Manipulation,"Creating, absorbing, and controlling energy.",35-49,Female,Female,Tamil,Cashier
292,Benin,Photokinesis,Controlling and creating light.,18-34,Female,Female,English,Retail Sales Associate
293,India,Sound Manipulation,Controlling and creating sound.,35-49,Female,Female,Urdu; Hindi,Truck Driver
294,Japan,Duplication,Creating copies of oneself.,35-49,Female,Female,English,Office Clerk
